,Model,Weeks ahead,Location,RMSE,NRMSE,MAPE
0,BPagano-RtDriven,1,AK,9.567531517237523,0.39864714655156347,376024941.0470238
1,BPagano-RtDriven,1,AL,36.34871596654642,0.33656218487542977,154.99405646143467
2,BPagano-RtDriven,1,AR,11.333949429332506,0.2635802192868025,52.95290744992497
3,BPagano-RtDriven,1,AZ,9.6487468616396,0.18205182757810562,23.240081640478426
4,BPagano-RtDriven,1,CA,60.49965172764771,0.28672820724003656,24.059146002626402
5,BPagano-RtDriven,1,CO,23.370793922828835,0.4029447228073937,135.39570621550268
6,BPagano-RtDriven,1,CT,20.00217101966684,0.31253392218229437,61.1263702858996
7,BPagano-RtDriven,1,DC,3.0708648618915158,0.3412072068768351,27751494.925262347
8,BPagano-RtDriven,1,DE,8.635868828129956,0.3198469936344428,149.19058926027674
9,BPagano-RtDriven,1,FL,103.322398928064,0.29861965008110986,26.10495092157366
10,BPagano-RtDriven,1,GA,23.673372897272863,0.2630374766363651,29.760492907896484
11,BPagano-RtDriven,1,IA,20.48192368691639,0.3151065182602521,231959072.92284858
12,BPagano-RtDriven,1,ID,8.220741476087584,0.30447190652176237,75.25156437375036
13,BPagano-RtDriven,1,IL,30.79919592024008,0.3710746496414468,28.33786377618413
14,BPagano-RtDriven,1,IN,14.735565886656676,0.2889326644442486,42.79659263532003
15,BPagano-RtDriven,1,KS,24.205342056730643,0.2521389797576109,294.49912597054333
16,BPagano-RtDriven,1,KY,13.289359935677867,0.34075281886353503,27.406399998099108
17,BPagano-RtDriven,1,LA,11.937970259498332,0.18366108091535896,75.09371659161252
18,BPagano-RtDriven,1,MA,16.448813670495106,0.32897627340990204,27.958129054460134
19,BPagano-RtDriven,1,MD,8.581667500161803,0.3178395370430297,14.939943185297341
20,BPagano-RtDriven,1,ME,14.341087775455994,0.34145447084419034,89734218.6675476
21,BPagano-RtDriven,1,MI,50.74619848241509,0.46132907711286447,30.109115354512422
22,BPagano-RtDriven,1,MN,11.341635306104084,0.45366541224416335,25.366745759315933
23,BPagano-RtDriven,1,MO,25.147141988040445,0.28255215716899373,123.17644281142206
24,BPagano-RtDriven,1,MS,9.608354142793308,0.2596852471025219,70.08252094230141
25,BPagano-RtDriven,1,MT,7.049230649510626,0.44057691559441414,73557785.71114334
26,BPagano-RtDriven,1,NC,140.48652228090543,0.29207177189377426,115.98084076803086
27,BPagano-RtDriven,1,ND,6.131375973901236,0.3606691749353668,45827881.40092
28,BPagano-RtDriven,1,NE,17.763219136275197,0.34829841443676857,244329319.89550334
29,BPagano-RtDriven,1,NH,4.424070872322609,0.3686725726935508,49.973522789902994
30,BPagano-RtDriven,1,NJ,14.613187868041205,0.45666212087628766,24.584997632595762
31,BPagano-RtDriven,1,NM,38.142336470340496,0.305138691762724,93.61310662581957
