,Model,Weeks ahead,Location,LS,CRPS,CS
90,BPagano-RtDriven,2,SC,-5.550895093958331,25.996433650733135,0.38309090578556065
91,BPagano-RtDriven,2,SD,-2.6540410209616994,1.5962251811823855,0.039927272510528564
92,BPagano-RtDriven,2,TN,-2.5591943676651643,13.380975421752908,0.05758181633949283
93,BPagano-RtDriven,2,TX,-2.377762850693225,23.05733562983285,0.09760000208616255
94,BPagano-RtDriven,2,US,-2.5323282120202175,233.37055726326807,0.23054546153545366
95,BPagano-RtDriven,2,UT,-2.604191118623411,3.239605925103935,0.13247273255586614
96,BPagano-RtDriven,2,VA,-4.071111351231002,30.067440687643536,0.1877636302947999
97,BPagano-RtDriven,2,VT,-2.9269965990692386,1.2890919982814533,0.2603636311888696
98,BPagano-RtDriven,2,WA,-2.7313953683938816,13.199725543853397,0.10040000536441802
99,BPagano-RtDriven,2,WI,-2.9766875879146593,8.202723222564977,0.09099999791383749
100,BPagano-RtDriven,2,WV,-2.6322431468943956,6.186454226062213,0.05021818395853043
101,BPagano-RtDriven,2,WY,-2.8166896618413393,1.9871746235305652,0.14763635778427137
102,BPagano-RtDriven,3,AK,-3.6951658890165917,5.428918895312458,0.43100000107288367
103,BPagano-RtDriven,3,AL,-2.494088771453149,18.331985935403885,0.06699999727308757
104,BPagano-RtDriven,3,AR,-2.9296000400551025,9.834438394389249,0.09080000163912764
105,BPagano-RtDriven,3,AZ,-3.2197922421807794,6.8719307317193365,0.19660000084936613
106,BPagano-RtDriven,3,CA,-2.673195686356188,40.29685683058254,0.10859999372661104
107,BPagano-RtDriven,3,CO,-3.696426039617959,22.430898872933323,0.3119999971389772
108,BPagano-RtDriven,3,CT,-2.217418644016299,8.559569235857632,0.13899999897182
109,BPagano-RtDriven,3,DC,-2.5956693071108066,1.4501990517477037,0.12499999628961099
110,BPagano-RtDriven,3,DE,-3.3477255135332875,5.576947088866109,0.2429999963343145
111,BPagano-RtDriven,3,FL,-2.6869375092776813,46.6568138853753,0.17719999566376202
112,BPagano-RtDriven,3,GA,-4.322839636910125,28.810422922186696,0.07520000007450588
113,BPagano-RtDriven,3,IA,-2.720826919110478,6.701960274743966,0.08800000496208657
114,BPagano-RtDriven,3,ID,-2.430163488422832,3.713033549962747,0.07819999900162211
115,BPagano-RtDriven,3,IL,-2.885705854791668,21.541419825042574,0.16919999603629124
116,BPagano-RtDriven,3,IN,-2.731122918613922,10.505051374021471,0.05680000567734234
117,BPagano-RtDriven,3,KS,-4.39696436714471,18.911334424644906,0.38699999766051774
118,BPagano-RtDriven,3,KY,-3.2536911511102353,11.7594242426235,0.26500000631809223
119,BPagano-RtDriven,3,LA,-2.4110583463574273,8.683827453784152,0.11860000278651704
120,BPagano-RtDriven,3,MA,-2.8066301211751234,11.306807106293984,0.04139999828636647
121,BPagano-RtDriven,3,MD,-2.809687754997073,5.627600245055737,0.16099999596178521
122,BPagano-RtDriven,3,ME,-3.1491117844156404,7.433747129706738,0.24599999637901795
123,BPagano-RtDriven,3,MI,-3.1866027006716946,27.662687366097522,0.0841999983608724
124,BPagano-RtDriven,3,MN,-3.0733038239288875,7.833416037018354,0.06079999380111694
125,BPagano-RtDriven,3,MO,-3.9078512980566438,18.348514623830372,0.10419999482929719
126,BPagano-RtDriven,3,MS,-2.68129117204464,7.122287536349717,0.11100000211596481
127,BPagano-RtDriven,3,MT,-3.8658287542186978,5.45205516250167,0.18959999086558832
128,BPagano-RtDriven,3,NC,-3.9510774266252455,68.82776582461048,0.3579999973773957
129,BPagano-RtDriven,3,ND,-3.3171109770595293,2.797483375508153,0.25199999698996556
130,BPagano-RtDriven,3,NE,-4.573459027541717,12.430160227549715,0.4399999998658896
131,BPagano-RtDriven,3,NH,-2.5679990776095742,1.8384150399846448,0.0997999967068433
132,BPagano-RtDriven,3,NJ,-3.272704878730443,11.106723121726578,0.08240000242888922
133,BPagano-RtDriven,3,NM,-3.831555127811609,28.02606857982109,0.21399999545514597
134,BPagano-RtDriven,3,NV,-2.923966778453758,11.810700364901823,0.05579999803304668
135,BPagano-RtDriven,3,NY,-2.46361077015951,18.893965863256817,0.13399999272823326
136,BPagano-RtDriven,3,OH,-4.285877102737927,40.85132972955556,0.2309999945908786
137,BPagano-RtDriven,3,OK,-3.058417519466452,161.2157417757898,0.2129999966323377
138,BPagano-RtDriven,3,OR,-2.640770052831151,16.60005100780044,0.04280000013411042
139,BPagano-RtDriven,3,PA,-2.7834119222412754,20.12501729671977,0.06060000299513343
140,BPagano-RtDriven,3,RI,-2.688010101110249,1.4132843515328979,0.07400000351667405
141,BPagano-RtDriven,3,SC,-5.479580278360425,27.557008757353934,0.3429999976009132
142,BPagano-RtDriven,3,SD,-3.2971172053083437,2.1487594675542203,0.0509999992847443
143,BPagano-RtDriven,3,TN,-3.2433305535455004,14.296705409965579,0.09740000457465645
144,BPagano-RtDriven,3,TX,-2.967750504657798,32.96302921081481,0.04379999749660499
145,BPagano-RtDriven,3,US,-2.832634126747088,351.66989732864215,0.15499999549984922
146,BPagano-RtDriven,3,UT,-2.9037977844797287,3.8051794092222186,0.11200000137090672
147,BPagano-RtDriven,3,VA,-4.379932096836721,33.616949081718886,0.15719999855458747
148,BPagano-RtDriven,3,VT,-4.215771864442957,1.7169970154668959,0.21499999703466904
149,BPagano-RtDriven,3,WA,-2.6903470076502787,13.270706707574993,0.06499999532103534
150,BPagano-RtDriven,3,WI,-2.830235632143752,7.791743724801708,0.07679999620020392
151,BPagano-RtDriven,3,WV,-3.418379349998272,9.342398461606589,0.08220000753998757
152,BPagano-RtDriven,3,WY,-3.049822521997201,2.7172237807155426,0.21600000016391285
153,BPagano-RtDriven,4,AK,-4.195565043627416,6.565340467892101,0.43399999821186075
154,BPagano-RtDriven,4,AL,-2.460635740613933,17.817554010918762,0.07015554717779166
155,BPagano-RtDriven,4,AR,-3.146961887974555,12.490054914515754,0.1102222216427326
156,BPagano-RtDriven,4,AZ,-3.3516746734662544,7.86555855550957,0.2258888942450284
157,BPagano-RtDriven,4,CA,-3.0409731922741523,62.78699605073401,0.08977777306735518
158,BPagano-RtDriven,4,CO,-3.9669880258010832,29.53188170863032,0.30753333075046546
159,BPagano-RtDriven,4,CT,-3.791834749255974,11.300725032961095,0.16455554747581494
160,BPagano-RtDriven,4,DC,-3.8376305198391782,2.340780924656007,0.2484444400817157
161,BPagano-RtDriven,4,DE,-3.6655382178479647,5.970648206920615,0.24066666306555284
162,BPagano-RtDriven,4,FL,-2.959860204453342,69.25597054212578,0.08015555917322631
163,BPagano-RtDriven,4,GA,-3.874826202620027,34.680619669611566,0.12793332523703588
164,BPagano-RtDriven,4,IA,-2.903804151142509,6.673684644194601,0.09784444872438897
165,BPagano-RtDriven,4,ID,-2.612045764664485,4.27216606895968,0.09968888992369167
166,BPagano-RtDriven,4,IL,-2.8574258767273766,21.62075759847782,0.1381111049354077
167,BPagano-RtDriven,4,IN,-2.9876369675906833,7.174538919749555,0.26044444969296443
168,BPagano-RtDriven,4,KS,-4.739779106070472,22.380885339074553,0.3373333300799133
169,BPagano-RtDriven,4,KY,-3.528389186760947,13.627777151505864,0.2293333435654639
170,BPagano-RtDriven,4,LA,-2.5625856413588024,10.303048721831637,0.1859777904272078
171,BPagano-RtDriven,4,MA,-2.6859934911321854,9.983519931952918,0.07940000432133668
172,BPagano-RtDriven,4,MD,-2.971951143851948,6.437193602854576,0.11522222663462152
